Discovered 96 target layers (in_proj_a + in_proj_b) across shards
Processing 13 shards ...
  model-00002-of-00013.safetensors: dequantized model.language_model.layers.0.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00007-of-00013.safetensors: dequantized model.language_model.layers.36.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00007-of-00013.safetensors: dequantized model.language_model.layers.36.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00007-of-00013.safetensors: dequantized model.language_model.layers.37.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00007-of-00013.safetensors: dequantized model.language_model.layers.37.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00007-of-00013.safetensors: dequantized model.language_model.layers.38.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00007-of-00013.safetensors: dequantized model.language_model.layers.38.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00007-of-00013.safetensors: dequantized model.language_model.layers.4.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00007-of-00013.safetensors: dequantized model.language_model.layers.4.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00007-of-00013.safetensors: dequantized model.language_model.layers.40.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00007-of-00013.safetensors: dequantized model.language_model.layers.40.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00008-of-00013.safetensors: dequantized model.language_model.layers.41.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00008-of-00013.safetensors: dequantized model.language_model.layers.41.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00008-of-00013.safetensors: dequantized model.language_model.layers.42.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00008-of-00013.safetensors: dequantized model.language_model.layers.42.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00008-of-00013.safetensors: dequantized model.language_model.layers.44.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00008-of-00013.safetensors: dequantized model.language_model.layers.44.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00008-of-00013.safetensors: dequantized model.language_model.layers.45.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00008-of-00013.safetensors: dequantized model.language_model.layers.45.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00008-of-00013.safetensors: dequantized model.language_model.layers.46.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00008-of-00013.safetensors: dequantized model.language_model.layers.46.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00009-of-00013.safetensors: dequantized model.language_model.layers.48.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00009-of-00013.safetensors: dequantized model.language_model.layers.48.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00009-of-00013.safetensors: dequantized model.language_model.layers.49.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00009-of-00013.safetensors: dequantized model.language_model.layers.49.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00009-of-00013.safetensors: dequantized model.language_model.layers.5.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00009-of-00013.safetensors: dequantized model.language_model.layers.5.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00009-of-00013.safetensors: dequantized model.language_model.layers.50.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00009-of-00013.safetensors: dequantized model.language_model.layers.50.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00009-of-00013.safetensors: dequantized model.language_model.layers.52.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00009-of-00013.safetensors: dequantized model.language_model.layers.52.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00010-of-00013.safetensors: dequantized model.language_model.layers.53.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00010-of-00013.safetensors: dequantized model.language_model.layers.53.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00010-of-00013.safetensors: dequantized model.language_model.layers.54.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00010-of-00013.safetensors: dequantized model.language_model.layers.54.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00010-of-00013.safetensors: dequantized model.language_model.layers.56.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00010-of-00013.safetensors: dequantized model.language_model.layers.56.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00010-of-00013.safetensors: dequantized model.language_model.layers.57.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00010-of-00013.safetensors: dequantized model.language_model.layers.57.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00010-of-00013.safetensors: dequantized model.language_model.layers.58.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00010-of-00013.safetensors: dequantized model.language_model.layers.58.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00011-of-00013.safetensors: dequantized model.language_model.layers.6.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00011-of-00013.safetensors: dequantized model.language_model.layers.6.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00011-of-00013.safetensors: dequantized model.language_model.layers.60.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00011-of-00013.safetensors: dequantized model.language_model.layers.60.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00011-of-00013.safetensors: dequantized model.language_model.layers.61.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00011-of-00013.safetensors: dequantized model.language_model.layers.61.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00011-of-00013.safetensors: dequantized model.language_model.layers.62.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00011-of-00013.safetensors: dequantized model.language_model.layers.62.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00012-of-00013.safetensors: dequantized model.language_model.layers.8.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00012-of-00013.safetensors: dequantized model.language_model.layers.8.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00012-of-00013.safetensors: dequantized model.language_model.layers.9.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00012-of-00013.safetensors: dequantized model.language_model.layers.9.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16

Dequantized 96 layers in total.
Rewrote index: 2015 tensors across 13 shards
Patching quantization configs ...
  patched quantized_model/quantization_config.json (96 new fp16 entries)
  patched quantized_model/config.json (96 new fp16 entries)
Done.
